id_linha,id_ponto,ordem
SC01A 01,101722809716,1
SC01A 01,101722810080,2
SC01A 01,101722810424,3
SC01A 01,101722810500,4
SC01A 01,101722810706,5
SC01A 01,101722811380,6
SC01A 01,101722811670,7
SC01A 01,101722800124,8
SC01A 01,101722800844,9
SC01A 01,100376100220,10
SC01A 01,100376100620,11
SC01A 01,106394300383,12
SC01A 01,106394300153,13
SC01A 01,101722801298,14
SC01A 01,101722801650,15
SC01A 01,101722801916,16
SC01A 01,101722802120,17
SC01A 01,101722802416,18
SC01A 01,101722802664,19
SC01A 01,101722802762,20
SC01A 01,101722802892,21
SC01A 01,101722803394,22
SC01A 01,101722803616,23
SC01A 01,101722803830,24
SC01A 01,101722804118,25
SC01A 01,101722804474,26
SC01A 01,101722804638,27
SC01A 01,101722804766,28
SC01A 01,101722805040,29
SC01A 01,101722805170,30
SC01A 01,101722805326,31
SC01A 01,101722805602,32
SC01A 01,101722806200,33
SC01A 01,101722806608,34
SC01A 01,101722807060,35
SC01A 01,101722807510,36
SC01A 01,101722807900,37
SC01A 01,104516500064,38
SC01A 01,104516500304,39
SC01A 01,101722808476,40
SC01A 01,101722808902,41
SC01A 01,101722809090,42
SC01A 01,101722809384,43
SC01A 01,101722809716,44
SC01B 01,101722810021,1
SC01B 01,101722809661,2
SC01B 01,101722809317,3
SC01B 01,101722808969,4
SC01B 01,101722808495,5
SC01B 01,101722808091,6
SC01B 01,101722807685,7
SC01B 01,101722807347,8
SC01B 01,101722807061,9
SC01B 01,101722806777,10
SC01B 01,101722806475,11
SC01B 01,101722806213,12
SC01B 01,101722805809,13
SC01B 01,101722805341,14
SC01B 01,101722805057,15
SC01B 01,101722804861,16
SC01B 01,101722804489,17
SC01B 01,101722804317,18
SC01B 01,101722804057,19
SC01B 01,101722803743,20
SC01B 01,101722803513,21
SC01B 01,101722803257,22
SC01B 01,101722802983,23
SC01B 01,101722802787,24
SC01B 01,101722802655,25
SC01B 01,101722802419,26
SC01B 01,101722802241,27
SC01B 01,101722802017,28
SC01B 01,101722801511,29
SC01B 01,103200900244,30
SC01B 01,103200900500,31
SC01B 01,101722811671,32
SC01B 01,101722811531,33
SC01B 01,101722810555,34
SC01B 01,101722810021,35
SC01R 01,103773700065,1
SC01R 01,101722809661,2
SC01R 01,101722809317,3
SC01R 01,101722808969,4
SC01R 01,101722808495,5
SC01R 01,101722807685,6
SC01R 01,101722807347,7
SC01R 01,101722807061,8
SC01R 01,101722806777,9
SC01R 01,101722806475,10
SC01R 01,101722806213,11
SC01R 01,101722805809,12
SC01R 01,101722805341,13
SC01R 01,101722805057,14
SC01R 01,102634200101,15
SC01R 01,101722804766,16
SC01R 01,101722805040,17
SC01R 01,101722805170,18
SC01R 01,101722805326,19
SC01R 01,101722805602,20
SC01R 01,101722806200,21
SC01R 01,101722806608,22
SC01R 01,101722807060,23
SC01R 01,101722807510,24
SC01R 01,101722807900,25
SC01R 01,104516500064,26
SC01R 01,104516500304,27
SC01R 01,101722808476,28
SC01R 01,101722808902,29
SC01R 01,101722809090,30
SC01R 01,101722809384,31
SC01R 01,103773700065,32
SC01R 02,103773700065,1
SC01R 02,101722809661,2
SC01R 02,101722809317,3
SC01R 02,101722808969,4
SC01R 02,101722808495,5
SC01R 02,101722807685,6
SC01R 02,101722807347,7
SC01R 02,101722807061,8
SC01R 02,101722806777,9
SC01R 02,101722806475,10
SC01R 02,101722806213,11
SC01R 02,101722805809,12
SC01R 02,101722805341,13
SC01R 02,101722805057,14
SC01R 02,102634200101,15
SC01R 02,101722804766,16
SC01R 02,101722805040,17
SC01R 02,101722805170,18
SC01R 02,101722805326,19
SC01R 02,101722805602,20
SC01R 02,101722806200,21
SC01R 02,101722806608,22
SC01R 02,101722807060,23
SC01R 02,101722807510,24
SC01R 02,101722807900,25
SC01R 02,101722808476,26
SC01R 02,101722808902,27
SC01R 02,101722809090,28
SC01R 02,101722809384,29
SC01R 02,103773700065,30
SC02A 01,101722803300,1
SC02A 01,101722803394,2
SC02A 01,101722803616,3
SC02A 01,101722803830,4
SC02A 01,101722804118,5
SC02A 01,108125600050,6
SC02A 01,108125600446,7
SC02A 01,108125600840,8
SC02A 01,108125601190,9
SC02A 01,108125601460,10
SC02A 01,108125601620,11
SC02A 01,101722806608,12
SC02A 01,101722807060,13
SC02A 01,101722807510,14
SC02A 01,104969902277,15
SC02A 01,104969902025,16
SC02A 01,104969901611,17
SC02A 01,104969901329,18
SC02A 01,106346401333,19
SC02A 01,106346400901,20
SC02A 01,106346400679,21
SC02A 01,100125900540,22
SC02A 01,100125900942,23
SC02A 01,108115501022,24
SC02A 01,108115501320,25
SC02A 01,108115501582,26
SC02A 01,100955300021,27
SC02A 01,101042002023,28
SC02A 01,101042001701,29
SC02A 01,101042001285,30
SC02A 01,101042000845,31
SC02A 01,101042000491,32
SC02A 01,103177100073,33
SC02A 01,101722803300,34
SC02B 01,101522200232,1
SC02B 01,104773800245,2
SC02B 01,104773800109,3
SC02B 01,102266000004,4
SC02B 01,101042000252,5
SC02B 01,101042000510,6
SC02B 01,101042000800,7
SC02B 01,101042001104,8
SC02B 01,101042001488,9
SC02B 01,101042001896,10
SC02B 01,104087000153,11
SC02B 01,103785300547,12
SC02B 01,103785300195,13
SC02B 01,100125901271,14
SC02B 01,102605200485,15
SC02B 01,102605200285,16
SC02B 01,103200900348,17
SC02B 01,103218100276,18
SC02B 01,103218100564,19
SC02B 01,104969901206,20
SC02B 01,104969901578,21
SC02B 01,104969902026,22
SC02B 01,106040001600,23
SC02B 01,101722807347,24
SC02B 01,101722807061,25
SC02B 01,101722806777,26
SC02B 01,108125601657,27
SC02B 01,108125601287,28
SC02B 01,108125600923,29
SC02B 01,108125600449,30
SC02B 01,108125600263,31
SC02B 01,101722804317,32
SC02B 01,101722804057,33
SC02B 01,101722803743,34
SC02B 01,101722803513,35
SC02B 01,101722803257,36
SC02B 01,101522200232,37
SC02B 02,101522200232,1
SC02B 02,104773800245,2
SC02B 02,104773800109,3
SC02B 02,102266000004,4
SC02B 02,101042000252,5
SC02B 02,101042000510,6
SC02B 02,101042000800,7
SC02B 02,101042001104,8
SC02B 02,101042001488,9
SC02B 02,101042001896,10
SC02B 02,104087000153,11
SC02B 02,103785300547,12
SC02B 02,103785300195,13
SC02B 02,100673100176,14
SC02B 02,106346400795,15
SC02B 02,102605200285,16
SC02B 02,103200900348,17
SC02B 02,103218100276,18
SC02B 02,103218100564,19
SC02B 02,104969901206,20
SC02B 02,104969901578,21
SC02B 02,104969902026,22
SC02B 02,106040001600,23
SC02B 02,101722807347,24
SC02B 02,101722807061,25
SC02B 02,101722806777,26
SC02B 02,108125601657,27
SC02B 02,108125601287,28
SC02B 02,108125600923,29
SC02B 02,108125600449,30
SC02B 02,108125600263,31
SC02B 02,101722804317,32
SC02B 02,101722804057,33
SC02B 02,101722803743,34
SC02B 02,101722803513,35
SC02B 02,101722803257,36
SC02B 02,101522200232,37
SC03A 01,104274700052,1
SC03A 01,101042000252,2
SC03A 01,101042000510,3
SC03A 01,100226400190,4
SC03A 01,100226400586,5
SC03A 01,103203700176,6
SC03A 01,100273000400,7
SC03A 01,100273000594,8
SC03A 01,100273001030,9
SC03A 01,100273001342,10
SC03A 01,104969902026,11
SC03A 01,104516500064,12
SC03A 01,104516500304,13
SC03A 01,101722808476,14
SC03A 01,101722808902,15
SC03A 01,101722809090,16
SC03A 01,101722809384,17
SC03A 01,101722809626,18
SC03A 01,100808400071,19
SC03A 01,100673101833,20
SC03A 01,100673101549,21
SC03A 01,100673101143,22
SC03A 01,105874400756,23
SC03A 01,103203701149,24
SC03A 01,100314000927,25
SC03A 01,106682500213,26
SC03A 01,106682500023,27
SC03A 01,106394300383,28
SC03A 01,106394300153,29
SC03A 01,101722801298,30
SC03A 01,101722801650,31
SC03A 01,101722801916,32
SC03A 01,101722802120,33
SC03A 01,101722802416,34
SC03A 01,101722802664,35
SC03A 01,101722802762,36
SC03A 01,104274700052,37
SC03B 01,100808400071,1
SC03B 01,101722809939,2
SC03B 01,101722809661,3
SC03B 01,101722809317,4
SC03B 01,101722809081,5
SC03B 01,101722808495,6
SC03B 01,100273001881,7
SC03B 01,104969902025,8
SC03B 01,100273001365,9
SC03B 01,100273000999,10
SC03B 01,106768201645,11
SC03B 01,106768201351,12
SC03B 01,101308100863,13
SC03B 01,101042000845,14
SC03B 01,101042000491,15
SC03B 01,100275600145,16
SC03B 01,101722803257,17
SC03B 01,101722802983,18
SC03B 01,101722802787,19
SC03B 01,101722802655,20
SC03B 01,101722802419,21
SC03B 01,101722802241,22
SC03B 01,101722802017,23
SC03B 01,101722801707,24
SC03B 01,101722801511,25
SC03B 01,108115500112,26
SC03B 01,100314000144,27
SC03B 01,100314000510,28
SC03B 01,100314000856,29
SC03B 01,100673101126,30
SC03B 01,100673101504,31
SC03B 01,100673101800,32
SC03B 01,100673101962,33
SC03B 01,100808400071,34
SC04A 01,102966901116,1
SC04A 01,102966901492,2
SC04A 01,102966901812,3
SC04A 01,101722804474,4
SC04A 01,101722804638,5
SC04A 01,101722804766,6
SC04A 01,101722805040,7
SC04A 01,101722805170,8
SC04A 01,101722805326,9
SC04A 01,101722805602,10
SC04A 01,101873800336,11
SC04A 01,101873800666,12
SC04A 01,100955300050,13
SC04A 01,100955300174,14
SC04A 01,100955300368,15
SC04A 01,106346401333,16
SC04A 01,106346401071,17
SC04A 01,106346400679,18
SC04A 01,100125900367,19
SC04A 01,101137600375,20
SC04A 01,108115500354,21
SC04A 01,100376100646,22
SC04A 01,100376100910,23
SC04A 01,100376101220,24
SC04A 01,102966901116,25
SC04B 01,102966901035,1
SC04B 01,100376101350,2
SC04B 01,100226400190,3
SC04B 01,100226400586,4
SC04B 01,102744600427,5
SC04B 01,102744600275,6
SC04B 01,100376100655,7
SC04B 01,100376100391,8
SC04B 01,103200900244,9
SC04B 01,103200900690,10
SC04B 01,106994001065,11
SC04B 01,106994000731,12
SC04B 01,101909000786,13
SC04B 01,101909001264,14
SC04B 01,100955300799,15
SC04B 01,100955300557,16
SC04B 01,100955300161,17
SC04B 01,100955300021,18
SC04B 01,101873800629,19
SC04B 01,101873800287,20
