id_viagem,horario_saida,id_ponto,id_linha
303   011010070820,08:20:00,130311900120,303   01
303   011010070850,08:50:00,130311900120,303   01
303   011010071620,16:20:00,130311900120,303   01
303   011010072020,20:20:00,130311900120,303   01
303   011010072320,23:20:00,130311900120,303   01
631   021070020015,00:15:00,110998800036,631   02
8103  032070020300,03:00:00,104038900495,8103  03
8102  021080080005,00:05:00,106583500151,8102  02
304   011010070745,07:45:00,130311900120,304   01
304   011010071145,11:45:00,130311900120,304   01
304   011010071345,13:45:00,130311900120,304   01
304   011010071545,15:45:00,130311900120,304   01
304   011010071745,17:45:00,130311900120,304   01
304   011010071845,18:45:00,130311900120,304   01
304   011010072315,23:15:00,130311900120,304   01
321   011070050600,06:00:00,110256000098,321   01
321   011070050800,08:00:00,110256000098,321   01
321   011070050900,09:00:00,110256000098,321   01
321   011070051230,12:30:00,110256000098,321   01
321   011070051300,13:00:00,110256000098,321   01
321   011070051400,14:00:00,110256000098,321   01
321   011070051500,15:00:00,110256000098,321   01
321   011070051730,17:30:00,110256000098,321   01
321   011070051900,19:00:00,110256000098,321   01
321   011070052240,22:40:00,110256000098,321   01
201   011010060630,06:30:00,117062002431,201   01
201   011010061915,19:15:00,117062002431,201   01
201   021010041345,13:45:00,117062002431,201   02
321   011010050640,06:40:00,110256000098,321   01
321   011010051100,11:00:00,110256000098,321   01
321   011010051530,15:30:00,110256000098,321   01
633   021010040215,02:15:00,110998800036,633   02
3301A 011010121000,10:00:00,108296800379,3301A 01
3301A 011010121730,17:30:00,108296800379,3301A 01
4410  011010050600,06:00:00,107104000671,4410  01
4410  011010051130,11:30:00,107104000671,4410  01
533   012010030630,06:30:00,103538100075,533   01
533   012010031230,12:30:00,103538100075,533   01
533   012010031430,14:30:00,103538100075,533   01
533   012010031530,15:30:00,103538100075,533   01
533   012010031630,16:30:00,103538100075,533   01
533   012010032100,21:00:00,103538100075,533   01
535   011010050600,06:00:00,600001100057,535   01
535   011010050900,09:00:00,600001100057,535   01
535   011010050930,09:30:00,600001100057,535   01
