route_stop_id,route_id,stop_id,stop_sequence
0,SC01A 01,101722809716,1
1,SC01A 01,101722810080,2
2,SC01A 01,101722810424,3
3,SC01A 01,101722810500,4
4,SC01A 01,101722810706,5
5,SC01A 01,101722811380,6
6,SC01A 01,101722811670,7
7,SC01A 01,101722800124,8
8,SC01A 01,101722800844,9
9,SC01A 01,100376100220,10
10,SC01A 01,100376100620,11
11,SC01A 01,106394300383,12
12,SC01A 01,106394300153,13
13,SC01A 01,101722801298,14
14,SC01A 01,101722801650,15
15,SC01A 01,101722801916,16
16,SC01A 01,101722802120,17
17,SC01A 01,101722802416,18
18,SC01A 01,101722802664,19
19,SC01A 01,101722802762,20
20,SC01A 01,101722802892,21
21,SC01A 01,101722803394,22
22,SC01A 01,101722803616,23
23,SC01A 01,101722803830,24
24,SC01A 01,101722804118,25
25,SC01A 01,101722804474,26
26,SC01A 01,101722804638,27
27,SC01A 01,101722804766,28
28,SC01A 01,101722805040,29
29,SC01A 01,101722805170,30
30,SC01A 01,101722805326,31
31,SC01A 01,101722805602,32
32,SC01A 01,101722806200,33
33,SC01A 01,101722806608,34
34,SC01A 01,101722807060,35
35,SC01A 01,101722807510,36
36,SC01A 01,101722807900,37
37,SC01A 01,104516500064,38
38,SC01A 01,104516500304,39
39,SC01A 01,101722808476,40
40,SC01A 01,101722808902,41
41,SC01A 01,101722809090,42
42,SC01A 01,101722809384,43
43,SC01A 01,101722809716,44
44,SC01B 01,101722810021,1
45,SC01B 01,101722809661,2
46,SC01B 01,101722809317,3
47,SC01B 01,101722808969,4
48,SC01B 01,101722808495,5
49,SC01B 01,101722808091,6
50,SC01B 01,101722807685,7
51,SC01B 01,101722807347,8
52,SC01B 01,101722807061,9
53,SC01B 01,101722806777,10
54,SC01B 01,101722806475,11
55,SC01B 01,101722806213,12
56,SC01B 01,101722805809,13
57,SC01B 01,101722805341,14
58,SC01B 01,101722805057,15
59,SC01B 01,101722804861,16
60,SC01B 01,101722804489,17
61,SC01B 01,101722804317,18
62,SC01B 01,101722804057,19
63,SC01B 01,101722803743,20
64,SC01B 01,101722803513,21
65,SC01B 01,101722803257,22
66,SC01B 01,101722802983,23
67,SC01B 01,101722802787,24
68,SC01B 01,101722802655,25
69,SC01B 01,101722802419,26
70,SC01B 01,101722802241,27
71,SC01B 01,101722802017,28
72,SC01B 01,101722801511,29
73,SC01B 01,103200900244,30
74,SC01B 01,103200900500,31
75,SC01B 01,101722811671,32
76,SC01B 01,101722811531,33
77,SC01B 01,101722810555,34
78,SC01B 01,101722810021,35
79,SC01R 01,103773700065,1
80,SC01R 01,101722809661,2
81,SC01R 01,101722809317,3
82,SC01R 01,101722808969,4
83,SC01R 01,101722808495,5
84,SC01R 01,101722807685,6
85,SC01R 01,101722807347,7
86,SC01R 01,101722807061,8
87,SC01R 01,101722806777,9
88,SC01R 01,101722806475,10
89,SC01R 01,101722806213,11
90,SC01R 01,101722805809,12
91,SC01R 01,101722805341,13
92,SC01R 01,101722805057,14
93,SC01R 01,102634200101,15
94,SC01R 01,101722804766,16
95,SC01R 01,101722805040,17
96,SC01R 01,101722805170,18
97,SC01R 01,101722805326,19
98,SC01R 01,101722805602,20
99,SC01R 01,101722806200,21
100,SC01R 01,101722806608,22
101,SC01R 01,101722807060,23
102,SC01R 01,101722807510,24
103,SC01R 01,101722807900,25
104,SC01R 01,104516500064,26
105,SC01R 01,104516500304,27
106,SC01R 01,101722808476,28
107,SC01R 01,101722808902,29
108,SC01R 01,101722809090,30
109,SC01R 01,101722809384,31
110,SC01R 01,103773700065,32
111,SC01R 02,103773700065,1
112,SC01R 02,101722809661,2
113,SC01R 02,101722809317,3
114,SC01R 02,101722808969,4
115,SC01R 02,101722808495,5
116,SC01R 02,101722807685,6
117,SC01R 02,101722807347,7
118,SC01R 02,101722807061,8
119,SC01R 02,101722806777,9
120,SC01R 02,101722806475,10
121,SC01R 02,101722806213,11
122,SC01R 02,101722805809,12
123,SC01R 02,101722805341,13
124,SC01R 02,101722805057,14
125,SC01R 02,102634200101,15
126,SC01R 02,101722804766,16
127,SC01R 02,101722805040,17
128,SC01R 02,101722805170,18
129,SC01R 02,101722805326,19
130,SC01R 02,101722805602,20
131,SC01R 02,101722806200,21
132,SC01R 02,101722806608,22
133,SC01R 02,101722807060,23
134,SC01R 02,101722807510,24
135,SC01R 02,101722807900,25
136,SC01R 02,101722808476,26
137,SC01R 02,101722808902,27
138,SC01R 02,101722809090,28
139,SC01R 02,101722809384,29
140,SC01R 02,103773700065,30
141,SC02A 01,101722803300,1
142,SC02A 01,101722803394,2
143,SC02A 01,101722803616,3
144,SC02A 01,101722803830,4
145,SC02A 01,101722804118,5
