route_id,route_short_name,route_long_name,shape_id,initial_stop_id,final_stop_id
4801A 01,4801A,Jardim Filadelfia/Boa Vista A (Principal),4801A-01I,109207300780,106312000753
9550  01,9550,Casa Branca/Sao Francisco Via Est. Jose Candido (Principal),9550-01I,111617000759,106161701501
4205  01,4205,Ermelinda/Salgado Filho (Principal),4205-01V,100213500140,108136000278
9104  01,9104,Sagrada Familia/Luxemburgo (Principal),9104-01V,112241700802,103549502274
301   01,301,Est.Diamante/Novo Sta.Cecilia V. Brasil Industrial (Via Rua Da Olaria),301-01I,130311900120,130312000050
311   01,311,Estacao Diamante / Independencia (Principal),311-01I,130311900120,130312000050
313   01,313,Estacao Diamante / Olaria (Principal),313-01I,130311900120,130312000050
4103  02,4103,Aparecida/Mangabeiras (Desvio Feira Da Av.Afonso Pena),4103-02V,110663300580,109739500090
402   03,402,Metro Cid.Industrial/Camargos (Via R. Silex - Manha),402-03I,130063100003,130063100003
2102  02,2102,Gameleira / Serra (Desvio Feira Da Av. Afonso Pena),2102-02I,107409200240,101299000920
9408  02,9408,Santa Efigenia/Padre Eustaquio (Desvio Feira Da Av.Afonso Pena),9408-02V,106723500017,101794000010
9403  02,9403,Paraiso/Caicara (Desvio Feira Da Av.Afonso Pena),9403-02V,112769400211,102004300211
8501  01,8501,Maria Goretti/Engenho Nogueira Via Ouro Preto (Principal),8501-01V,101896800050,106031100550
9501  05,9501,Sao Lucas/Jaragua (Desvio Feira Da Av.Afonso Pena),9501-05V,111098400036,102356100011
203   01,203,Morro Das Pedras/Ventosa (Principal),203-01I,108253600219,108253600219
9211  01,9211,Caetano Furquim/Havai (Principal),9211-01V,104962000253,103584500028
SC02A 01,SC02A,Praca 7/Savassi Via Pca Da Liberdade - Santa Casa (Principal),SC02A-01I,101722803300,101722803300
SC02B 01,SC02B,Savassi/Praca 7 Via Santa Casa - Pca Da Liberdade (Principal),SC02B-01I,101522200232,101522200232
SC03B 01,SC03B,Hospital Felicio Rocho/Hospital Militar B (Principal),SC03B-01I,100808400071,100808400071
SC04A 01,SC04A,Santa Casa/Savassi/Rodoviaria A (Principal),SC04A-01I,102966901116,102966901116
3501A 01,3501A,Jardim Alvorada/Sao Marcos (Principal),3501A-01I,103536600140,104016100295
3503A 01,3503A,Santa Terezinha/Sao Gabriel (Principal),3503A-01V,112146800351,111797000194
4405  01,4405,Coqueiros (Principal),4405-01I,109503000015,109503000015
3054  02,3054,Milionarios/Centro (Retorno Expresso),3054-02I,101871200470,101909000862
510   01,510,Estacao Pampulha / Xangrila Via Trevo (Principal),510-01I,101064800489,101064800489
815   01,815,Estacao Sao Gabriel / Conjunto Paulo VI (Principal),815-01I,101865205600,101865205600
5104  01,5104,Suzana/Cruzeiro-Via Universitario (Principal),5104-01V,105026300001,104146700394
622   01,622,Estacao Venda Nova / Lagoinha (Principal),622-01I,107042600140,101153700105
9250  02,9250,Caetano Furquim/Nova Cintra Via Savassi (Principal),9250-02I,103544100210,109572400071
9202  04,9202,Pompeia/Jardim America (Desvio Feira Av. Afonso Pena),9202-04I,100053300023,100053300023
4032  01,4032,Caicara /Savassi/ Pca. Da Liberdade (Principal),4032-01I,103538100125,103538100125
204   01,204,Estacao Vila Oeste / Nova Gameleira (Principal),204-01I,100017000170,100017000170
9502  03,9502,Sao Geraldo/Sao Francisco Via Esplanada (Atendimento A Ufmg),9502-03I,103544101023,110483000100
332   01,332,Estacao Barreiro / Milionarios - Bonsucesso (Principal),332-01I,100980200007,100130600640
3350  01,3350,Est.Barreiro/Est.Diamante (Principal),3350-01I,100980200007,100130600640
315   01,315,Estacao Barreiro / Barreiro (Principal),315-01I,100980200007,100130600640
330   02,330,Estacao Barreiro / Independencia (Noturno),330-02I,100980200007,100130600640
633   02,633,Estacao Vilarinho / Jardim Dos Comerciarios (Noturno),633-02I,110998800036,110998800036
318   05,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Principal - Estacao Barreiro),318-05I,100980200007,100130600640
9407  03,9407,Alto Vera Cruz/Dom Bosco (Atendimento A R. Osmario Soares),9407-03I,102813301374,104745000356
8203  03,8203,Renascenca/Buritis (Atendimento Av.Deputado Cristovam Chiaradia),8203-03I,101125000871,130036700870
4501  02,4501,California II / Sao Paulo (Partida Intermed. Conj California I),4501-02I,110179700123,103853800093
331   03,331,Estacao Barreiro/Conj.Antonio Teixeira Dias V.Upa (Via Puc Barreiro),331-03I,100980200007,100130600640
311   05,311,Estacao Diamante / Independencia (R. F.Pitangueira/Est.Diamante),311-05I,104294900119,130312000050
8207  04,8207,Maria Goretti/Estrela Dalva (Partidas Da Rua Barreiro Grande),8207-04I,100825800057,102471200430
5502C 06,5502C,Pousada Santo Antonio (Atendimento Ao Bairro Vitoria-Via Pousada (Manha)),5502C-06I,130340600455,108970900519
318   06,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Partidas Da Rua Jeremias),318-06I,130383900088,100130600640
9250  04,9250,Caetano Furquim/Nova Cintra Via Savassi (Retorno Hospitais),9250-04V,109572400071,109572400071
9201  05,9201,Baleia/Nova Granada (Principal),9201-05I,100918800001,106588902379
4403D 03,4403D,Urca-Confisco (Via Residencial Sarandi),4403D-03I,104147000010,104147000010
3501A 10,3501A,Jardim Alvorada/Sao Marcos (Via Est. Jose Candido),3501A-10I,103536600140,104016100295
9414  03,9414,Santa Ines/Joao Pinheiro (Atendimento Ao California),9414-03V,108307500226,700037500555
738   01,738,Estacao Vilarinho/Conj.Zilah Sposito (Principal),738-01I,111339000257,111339000257
SC03A 01,SC03A,Hospital Felicio Rocho/Hospital Militar A (Principal),SC03A-01I,104274700052,104274700052
3302A 03,3302A,Nova Pampulha Via Itamarati (Via Hospitais),3302A-03I,300107700825,300107700825
4113  01,4113,Bom Jesus/Belvedere (Principal),4113-01V,113006201100,106479800015
103   01,103,Vila Cafezal/Rua Pouso Alto (Principal),103-01I,112720600521,112720600521
342   03,342,Estacao Barreiro / Solar Via Estacao Diamante (Partidas Da Rua Luiz Pongelupe),342-03I,106912700320,100130600640
2150  01,2150,Grajau/Sion Via Contorno (Principal),2150-01V,107792000275,106588901959
50    02,50,Estacao Pampulha / Centro - Direta (Direta Av. Parana),50-02I,105481603700,105481603700
50    03,50,Estacao Pampulha / Centro - Direta (Direta Av. Santos Dumont),50-03I,105481603700,105481603700
621   06,621,Estacao Venda Nova / Lagoa (Noturno),621-06I,107042600140,101153700105
615   03,615,Estacao Pampulha / Ceu Azul B (Partidas Da Estacao Pampulha),615-03I,105481603700,105289203700
644   05,644,Estacao Pampulha / Sao Joao Batista (Sao Joao Batista/Est. Pampulha),644-05I,112652100051,105289203700
5104  02,5104,Suzana/Cruzeiro-Via Universitario (Desvio Feira Av.Afonso Pena),5104-02I,104146700394,105026300001
717   05,717,Estacao Pampulha / Campo Alegre (Partidas Da Estacao Pampulha),717-05I,105481603700,105289203700
738   04,738,Estacao Vilarinho/Conj.Zilah Sposito (Partidas Da Estacao Vilarinho),738-04I,110998800036,108550600275
506   04,506,Estacao Ponto Sao Jose / Av. Antonio Carlos  (Via Ouro Preto),506-04I,103536600140,103536600140
619   06,619,Estacao Pampulha/Santa Monica Via Santa Branca (Estacao Pampulha/Santa Monica),619-06I,105481603700,102929300284
9034  01,9034,Taquaril/Centro (Principal),9034-01I,108699700200,108699700200
9034  02,9034,Taquaril/Centro (Desvio Feira Av.Afonso Pena),9034-02I,108699700200,108699700200
8405  04,8405,Palmares/Bela Vista (Desvio Feira Av. Afonso Pena),8405-04V,107199200184,111718600216
62    13,62,Estacao Venda Nova/Savassi Via Hospitais (Direta),62-13I,107042600140,101153700105
504   02,504,Estacao Sao Gabriel / Santa Rosa / Aparecida (Partidas Da Est.Sao Gabriel),504-02I,101865205600,101865205600
4034  13,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio (Via Centro Saude California),4034-13I,100694600080,100694600080
62    14,62,Estacao Venda Nova/Savassi Via Hospitais (Est. V. Nova/Savassi-Direta),62-14V,101597200713,101153700105
4037  03,4037,Nossa Senhora Da Gloria / Centro (Atendimento Domingos/Feriados),4037-03I,107358100012,107358100012
8551  01,8551,Est. Sao Gabriel/Estacao Ufmg Via Anel Rodoviario (Principal),8551-01I,101865205600,101865205600
5107  01,5107,Estacao Pampulha/Savassi (Principal),5107-01I,105481603700,105481603700
9202  13,9202,Pompeia/Jardim America (Via Pca. Alberto T. Dos Santos),9202-13I,100053300023,100053300023
2103  06,2103,Prado/Anchieta (Desvio Feira Av. Afonso Pena),2103-06I,107018000006,102940000973
614   02,614,Estacao Pampulha / Ceu Azul A (Noturno),614-02I,105481603700,105481603700
617   02,617,Estacao Pampulha / Piratininga Via Rio Branco (Noturno),617-02I,105481603700,105289203700
644   02,644,Estacao Pampulha / Sao Joao Batista (Noturno),644-02I,105481603700,105289203700
