route_number,route_id
206,30-01
256,31-01
208,30-03
258,31-03
209,30-04
947,31-05
210,30-06
211,30-07
212,30-08
213,30-09
214,30-10
215,30-11
216,30-12
884,0000-01
783,007-01
2,0100-01
3,0100-02
4,0100-03
784,1000-01
1200,1001-01
1220,1001-02
1221,1001-03
1222,1001-04
1223,1001-05
1237,1001-06
3515,1001-08
3514,1001-09
3516,1001-10
4642,1002-01
989,1010-01
6,101-01
1192,1020-01
8,102-01
1312,102-02
12,1030-01
13,1030-05
10,103-01
870,104-01
6122,1050-01
1421,105-01
6428,105-02
7778,105-03
1423,106-01
2118,107-01
3555,108-01
15,1115-01
16,1115-02
18,1120A-01
20,1122A-01
21,1122A-05
23,1122B-01
25,1129A-01
27,1129B-01
29,1144A-01
31,1144C-01
788,1144C-03
33,1145-01
6247,1145-04
35,1146A-01
37,1148A-01
39,1148B-01
40,1148B-02
41,1148B-03
43,1170-01
6354,1170-02
45,1207A-01
46,1207A-02
3402,1207A-04
3404,1207A-05
48,1207B-01
49,1207B-03
50,1207B-05
976,1207B-06
977,1207B-07
3407,1207B-08
52,1207C-01
3410,1207C-03
54,1404A-01
55,1404A-03
1066,1404A-05
1067,1404A-06
2654,1404A-07
3055,1404A-08
3056,1404A-09
3415,1404A-10
3416,1404A-11
6333,1404A-13
57,1404B-01
2514,1404B-03
2655,1404B-04
3316,1404B-05
6334,1404B-07
59,1404C-01
2454,1404C-02
2474,1404C-03
2534,1404C-04
3317,1404C-05
6335,1404C-06
61,1404R-01
63,1404S-01
64,1404S-02
66,1502-01
3334,1502-02
6198,1502-03
68,1505-01
69,1505-02
70,1505-03
3354,1505-05
3355,1505-06
3356,1505-07
6199,1505-08
6467,1505-09
6468,1505-10
72,1505R-01
73,1505R-02
74,1505R-03
6386,1505R-04
76,1509-02
77,1509-05
3357,1509-07
6200,1509-08
79,1510-01
3294,1510-03
6201,1510-04
787,2000-01
1913,2001-01
1914,2001-02
1915,2001-03
1916,2001-04
3498,2001-09
3499,2001-10
3195,2002-01
3196,2002-02
729,2004-01
730,2004-02
731,2004-03
732,2004-04
81,201-01
82,201-02
2154,201-03
7539,2020-01
7540,2020-02
7541,2020-03
84,202-01
3721,202-02
86,203-01
5291,2031-01
5293,2032-01
5628,2033-01
6269,2033-02
5630,2034-01
6244,2034-02
5632,2035-01
6245,2035-02
88,204-01
872,205-01
1442,205-02
2557,206-01
2558,206-02
2559,206-03
2560,206-04
5634,207-01
6640,208-01
90,2101-01
91,2101-02
3358,2101-03
6202,2101-04
93,2102-01
94,2102-02
95,2102-03
789,2102-04
6207,2102-05
97,2103-01
3359,2103-03
3574,2103-04
6210,2103-05
98,2103-06
100,2104-01
101,2104-02
102,2104-03
103,2104-04
2995,2104-05
3360,2104-06
3361,2104-07
6213,2104-08
6357,2104-09
105,2150-01
6359,2150-02
107,2151-01
6272,2151-02
109,2152-01
6362,2152-02
7659,2153-01
111,2207-01
112,2207-03
113,2207-04
790,2207-05
3094,2207-06
3095,2207-07
4217,2207-08
4295,2207-09
115,2207Z-01
117,2208B-01
118,2208B-02
119,2208B-04
791,2208B-05
792,2208B-06
1902,2208B-07
1903,2208B-08
2854,2208B-09
2855,2208B-10
121,2210A-01
